tid,date,type,price,amount
18372978,1735265549,buy,598107.09268377,0.00009731
18372979,1735265550,sell,597567.54329985,0.00000351
18372980,1735265562,sell,597567.54330017,0.00000751
18372981,1735265590,sell,597421.00000000,0.00017972
18372982,1735265607,buy,597718.04757163,0.00002903
18372983,1735265612,sell,597421.00000000,0.00017598
18372984,1735265651,sell,597615.10907755,0.00009313
18372985,1735265671,buy,597988.68205226,0.00017262
18372986,1735265686,buy,597988.68205221,0.00001622
18372987,1735265696,buy,597988.68205221,0.00017426
18372988,1735265702,buy,597988.68205221,0.00017262
18372989,1735265710,buy,598277.20799194,0.00000729
18372990,1735265726,buy,598468.17093227,0.00006483
18372991,1735265738,sell,598462.84154598,0.00136989
18372992,1735265746,buy,598617.17748767,0.00016422
18372993,1735265747,sell,598350.15124719,0.00001117
18372994,1735265750,buy,598617.17748767,0.00001620
18372995,1735265763,buy,598617.17748766,0.00039708
18372996,1735265775,buy,598503.17970244,0.00016425
18372997,1735265789,buy,598343.46905866,0.00018566
18372998,1735265809,sell,597849.42250593,0.00016631
18372999,1735265822,buy,598343.46905761,0.00000768
18373000,1735265858,buy,598158.79898809,0.00017721
18373001,1735265891,sell,597849.42000000,0.00004657
18373002,1735265914,buy,597996.99293283,0.00008435
18373003,1735265917,buy,597996.99293275,0.00008111
18373004,1735265919,buy,597996.98999999,0.00018083
18373005,1735265920,buy,597996.98999999,0.00000551
18373006,1735265958,buy,597996.99000000,0.00000222
18373007,1735265958,buy,598143.00350778,0.00390000
18373008,1735265958,buy,598158.79000000,0.00000222
18373009,1735265958,buy,598335.43514550,0.00271584
18373010,1735265977,buy,598343.46000000,0.00000222
18373011,1735265977,buy,598343.46000000,0.00000222
18373012,1735265977,buy,598490.96861460,0.00166643
18373013,1735265987,buy,598490.96861460,0.00018068
18373014,1735266031,sell,598306.52317400,0.00053246
18373015,1735266049,buy,598617.17000000,0.00000222
18373016,1735266049,buy,598885.00000000,0.00013245
18373017,1735266057,buy,598885.00000000,0.00018057
18373018,1735266068,sell,598536.60000005,0.00017422
18373019,1735266076,sell,598536.60000030,0.00002882
18373020,1735266104,buy,598884.99989997,0.00008099
18373021,1735266134,sell,598536.60000001,0.00017396
18373022,1735266166,buy,598884.99989996,0.00004859
18373023,1735266174,buy,598884.99989996,0.00010631
18373024,1735266176,buy,598884.99989996,0.00099484
18373025,1735266204,buy,598613.77826550,0.00008102
18373026,1735266206,sell,598536.60000000,0.00083538
18373027,1735266206,sell,597909.20946031,0.00857923
18373028,1735266208,buy,598423.19721536,0.00050131
18373029,1735266240,buy,598550.78122499,0.00002431
18373030,1735266243,buy,598550.78122489,0.00004906
18373031,1735266244,buy,598550.78122489,0.00018067
18373032,1735266246,sell,598097.35946240,0.00084034
18373033,1735266248,buy,598696.94706549,0.00000163
18373034,1735266252,buy,598696.94706545,0.00002398
18373035,1735266260,buy,598696.94706545,0.00004050
18373036,1735266282,buy,598884.99989993,0.00018057
18373037,1735266334,buy,598884.99989929,0.00007046
18373038,1735266337,sell,598582.57835463,0.00004754
18373039,1735266350,buy,598884.99989929,0.00001619
18373040,1735266410,buy,598884.99989996,0.00032831
18373041,1735266412,buy,598884.99989996,0.00005009
18373042,1735266417,sell,598433.21356481,0.00017406
18373043,1735266430,sell,598433.21356521,0.00004948
18373044,1735266466,buy,598884.99989996,0.00000971
18373045,1735266490,buy,598884.99989996,0.00165323
18373046,1735266492,buy,598884.99989996,0.00002429
18373047,1735266513,sell,598247.98577593,0.00004754
18373048,1735266518,buy,598617.16999999,0.00145150
18373049,1735266534,sell,598495.60673168,0.00000222
18373050,1735266537,sell,598611.99999999,0.00011578
18373051,1735266559,sell,598611.99999999,0.00004657
18373052,1735266575,sell,598611.99999999,0.00004657
18373053,1735266664,buy,598612.00000000,0.00017244
18373054,1735266689,buy,598612.00000000,0.00058468
18373055,1735266707,sell,598611.99000001,0.00776585
18373056,1735266719,buy,598612.00000000,0.00000222
18373057,1735266719,buy,598617.17000000,0.00000222
18373058,1735266719,buy,598884.98989993,0.00015971
18373059,1735266721,sell,598611.99000001,0.00017396
18373060,1735266760,buy,598845.83003694,0.00060000
18373061,1735266767,buy,598760.21309142,0.00135309
18373062,1735266783,buy,598713.33088123,0.00115175
18373063,1735266787,buy,598713.33088111,0.00016420
18373064,1735266794,sell,598611.99000000,0.00250579
18373065,1735266794,sell,598227.91618250,0.01700000
18373066,1735266794,sell,598137.94800593,0.01437284
18373067,1735266815,sell,597886.00010001,0.00016614
18373068,1735266830,buy,598713.33088064,0.00020081
18373069,1735266832,sell,598137.71555877,0.00000676
18373070,1735266833,buy,598713.33088064,0.00016420
18373071,1735266847,sell,598137.71575886,0.00029467
18373072,1735266855,buy,598713.33088064,0.00016420
18373073,1735266856,sell,598137.71585887,0.00000745
18373074,1735266863,sell,598137.71585887,0.00015610
18373075,1735266864,buy,598611.53530399,0.00165399
18373076,1735266899,sell,598231.00919687,0.00409137
18373077,1735266900,sell,598228.64103799,0.00015610
18373078,1735266903,buy,598611.52999999,0.00016423
18373079,1735266903,buy,598611.52999999,0.00008102
18373080,1735266906,sell,598333.82262878,0.00015610
18373081,1735266971,sell,598261.12000000,0.00028402
18373082,1735266973,sell,598261.12000000,0.00001000
18373083,1735266978,sell,598261.12000000,0.00043257
18373084,1735266982,sell,598261.12000000,0.00004832
18373085,1735266983,buy,598333.81999999,0.00009728
18373086,1735266987,sell,598261.12000000,0.00054558
18373087,1735266991,buy,598068.46811171,0.00000162
18373088,1735266993,sell,597849.42000000,0.00004754
18373089,1735267019,buy,597899.58596052,0.00126227
18373090,1735267019,sell,597849.42000000,0.00017887
18373091,1735267029,buy,597899.58596020,0.00016442
18373092,1735267052,buy,598333.81999987,0.00000324
18373093,1735267057,buy,598333.81999991,0.00000486
18373094,1735267058,sell,598130.11173301,0.00003086
18373095,1735267089,buy,598333.82000000,0.00000222
18373096,1735267089,buy,598554.30962309,0.00165193
18373097,1735267115,buy,598611.51999999,0.00004051
18373098,1735267125,buy,598611.51999999,0.00082941
18373099,1735267156,sell,598265.58722909,0.00000515
